mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc': File exists
> Benchmarks for GEM3 : gcat_set_039_1
penguin
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2595740.GEM-Localalloc.penguin.t64
2016/9/30 19:16:25 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/30 19:16:25 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc/WarmUp.2595740.GEM-Localalloc.penguin.t64.sam']
2016/9/30 19:16:25 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/30 19:16:37 -- [SE::Mapping Sequences]
2016/9/30 19:16:47 -- # 100000 sequences processed
2016/9/30 19:16:47 -- # 200000 sequences processed
2016/9/30 19:16:48 -- # 300000 sequences processed
2016/9/30 19:16:48 -- # 400000 sequences processed
2016/9/30 19:16:49 -- # 500000 sequences processed
2016/9/30 19:16:49 -- # 600000 sequences processed
2016/9/30 19:16:49 -- # 700000 sequences processed
2016/9/30 19:16:49 -- # 800000 sequences processed
2016/9/30 19:16:49 -- # 900000 sequences processed
2016/9/30 19:16:49 -- # 1000000 sequences processed
2016/9/30 19:16:49 -- # 1100000 sequences processed
2016/9/30 19:16:49 -- # 1200000 sequences processed
2016/9/30 19:16:49 -- # 1300000 sequences processed
2016/9/30 19:16:49 -- # 1400000 sequences processed
2016/9/30 19:16:51 -- # 1500000 sequences processed
2016/9/30 19:16:51 -- # 1600000 sequences processed
2016/9/30 19:16:51 -- # 1700000 sequences processed
2016/9/30 19:16:51 -- # 1800000 sequences processed
2016/9/30 19:16:51 -- # 1900000 sequences processed
2016/9/30 19:16:51 -- # 2000000 sequences processed
2016/9/30 19:16:51 -- # 2100000 sequences processed
2016/9/30 19:16:51 -- # 2200000 sequences processed
2016/9/30 19:16:51 -- # 2300000 sequences processed
2016/9/30 19:16:51 -- # 2400000 sequences processed
2016/9/30 19:16:51 -- # 2500000 sequences processed
2016/9/30 19:16:51 -- # 2600000 sequences processed
2016/9/30 19:16:51 -- # 2700000 sequences processed
2016/9/30 19:16:51 -- # 2800000 sequences processed
2016/9/30 19:16:51 -- # 2900000 sequences processed
2016/9/30 19:16:51 -- # 3000000 sequences processed
2016/9/30 19:16:51 -- # 3100000 sequences processed
2016/9/30 19:16:51 -- # 3200000 sequences processed
2016/9/30 19:16:51 -- # 3300000 sequences processed
2016/9/30 19:16:51 -- # 3400000 sequences processed
2016/9/30 19:16:52 -- # 3500000 sequences processed
2016/9/30 19:16:52 -- # 3600000 sequences processed
2016/9/30 19:16:52 -- # 3700000 sequences processed
2016/9/30 19:16:52 -- # 3800000 sequences processed
2016/9/30 19:16:52 -- # 3900000 sequences processed
2016/9/30 19:16:52 -- # 4000000 sequences processed
2016/9/30 19:16:52 -- # 4100000 sequences processed
2016/9/30 19:16:52 -- # 4200000 sequences processed
2016/9/30 19:16:52 -- # 4300000 sequences processed
2016/9/30 19:16:52 -- # 4400000 sequences processed
2016/9/30 19:16:52 -- # 4500000 sequences processed
2016/9/30 19:16:52 -- # 4600000 sequences processed
2016/9/30 19:16:52 -- # 4700000 sequences processed
2016/9/30 19:16:52 -- # 4800000 sequences processed
2016/9/30 19:16:52 -- # 4900000 sequences processed
2016/9/30 19:16:52 -- # 5000000 sequences processed
2016/9/30 19:16:52 -- # 5100000 sequences processed
2016/9/30 19:16:52 -- # 5200000 sequences processed
2016/9/30 19:16:52 -- # 5300000 sequences processed
2016/9/30 19:16:52 -- # 5400000 sequences processed
2016/9/30 19:16:53 -- # 5500000 sequences processed
2016/9/30 19:16:53 -- # 5600000 sequences processed
2016/9/30 19:16:53 -- # 5700000 sequences processed
2016/9/30 19:16:53 -- # 5800000 sequences processed
2016/9/30 19:16:53 -- # 5900000 sequences processed
2016/9/30 19:16:53 -- # 6000000 sequences processed
2016/9/30 19:16:53 -- # 6100000 sequences processed
2016/9/30 19:16:53 -- # 6200000 sequences processed
2016/9/30 19:16:54 -- # 6300000 sequences processed
2016/9/30 19:16:54 -- # 6400000 sequences processed
2016/9/30 19:16:54 -- # 6500000 sequences processed
2016/9/30 19:16:57 -- # 6600000 sequences processed
2016/9/30 19:16:57 -- # 6700000 sequences processed
2016/9/30 19:16:57 -- # 6800000 sequences processed
2016/9/30 19:16:58 -- # 6900000 sequences processed
2016/9/30 19:16:58 -- # 7000000 sequences processed
2016/9/30 19:16:58 -- # 7100000 sequences processed
2016/9/30 19:16:58 -- # 7200000 sequences processed
2016/9/30 19:16:58 -- # 7300000 sequences processed
2016/9/30 19:16:59 -- # 7400000 sequences processed
2016/9/30 19:16:59 -- # 7500000 sequences processed
2016/9/30 19:16:59 -- # 7600000 sequences processed
2016/9/30 19:16:59 -- # 7700000 sequences processed
2016/9/30 19:17:00 -- # 7800000 sequences processed
2016/9/30 19:17:00 -- # 7900000 sequences processed
2016/9/30 19:17:00 -- # 8000000 sequences processed
2016/9/30 19:17:00 -- # 8100000 sequences processed
2016/9/30 19:17:00 -- # 8200000 sequences processed
2016/9/30 19:17:00 -- # 8300000 sequences processed
2016/9/30 19:17:00 -- # 8400000 sequences processed
2016/9/30 19:17:00 -- # 8500000 sequences processed
2016/9/30 19:17:00 -- # 8600000 sequences processed
2016/9/30 19:17:01 -- # 8700000 sequences processed
2016/9/30 19:17:01 -- # 8800000 sequences processed
2016/9/30 19:17:01 -- # 8900000 sequences processed
2016/9/30 19:17:01 -- # 9000000 sequences processed
2016/9/30 19:17:01 -- # 9100000 sequences processed
2016/9/30 19:17:01 -- # 9200000 sequences processed
2016/9/30 19:17:01 -- # 9300000 sequences processed
2016/9/30 19:17:01 -- # 9400000 sequences processed
2016/9/30 19:17:01 -- # 9500000 sequences processed
2016/9/30 19:17:01 -- # 9600000 sequences processed
2016/9/30 19:17:01 -- # 9700000 sequences processed
2016/9/30 19:17:01 -- # 9800000 sequences processed
2016/9/30 19:17:01 -- # 9900000 sequences processed
2016/9/30 19:17:01 -- # 10000000 sequences processed
2016/9/30 19:17:01 -- # 10100000 sequences processed
2016/9/30 19:17:01 -- # 10200000 sequences processed
2016/9/30 19:17:01 -- # 10300000 sequences processed
2016/9/30 19:17:01 -- # 10400000 sequences processed
2016/9/30 19:17:01 -- # 10500000 sequences processed
2016/9/30 19:17:01 -- # 10600000 sequences processed
2016/9/30 19:17:01 -- # 10700000 sequences processed
2016/9/30 19:17:01 -- # 10800000 sequences processed
2016/9/30 19:17:01 -- # 10900000 sequences processed
2016/9/30 19:17:01 -- # 11000000 sequences processed
2016/9/30 19:17:01 -- # 11100000 sequences processed
2016/9/30 19:17:01 -- # 11200000 sequences processed
2016/9/30 19:17:01 -- # 11300000 sequences processed
2016/9/30 19:17:01 -- # 11400000 sequences processed
2016/9/30 19:17:01 -- # 11500000 sequences processed
2016/9/30 19:17:01 -- # 11600000 sequences processed
2016/9/30 19:17:01 -- # 11700000 sequences processed
2016/9/30 19:17:02 -- # 11800000 sequences processed
2016/9/30 19:17:02 -- # 11900000 sequences processed
2016/9/30 19:17:02 -- Total 11945249 sequences processed... done
2016/9/30 19:17:02 -- [GEMMapper terminated successfully in 25s. (+12s. loading)]

#################################################################
# Test multi-threading - 8 threads - T2
#################################################################
2595740.GEM-Localalloc.penguin.t8
2016/9/30 19:17:02 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/30 19:17:02 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Localalloc/2595740.GEM-Localalloc.penguin.t8.sam']
2016/9/30 19:17:02 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/30 19:17:13 -- [SE::Mapping Sequences]
2016/9/30 19:17:21 -- # 100000 sequences processed
2016/9/30 19:17:21 -- # 200000 sequences processed
2016/9/30 19:17:21 -- # 300000 sequences processed
2016/9/30 19:17:21 -- # 400000 sequences processed
2016/9/30 19:17:21 -- # 500000 sequences processed
2016/9/30 19:17:21 -- # 600000 sequences processed
2016/9/30 19:17:21 -- # 700000 sequences processed
2016/9/30 19:17:21 -- # 800000 sequences processed
2016/9/30 19:17:27 -- # 900000 sequences processed
2016/9/30 19:17:27 -- # 1000000 sequences processed
2016/9/30 19:17:27 -- # 1100000 sequences processed
2016/9/30 19:17:27 -- # 1200000 sequences processed
2016/9/30 19:17:27 -- # 1300000 sequences processed
2016/9/30 19:17:27 -- # 1400000 sequences processed
2016/9/30 19:17:27 -- # 1500000 sequences processed
2016/9/30 19:17:27 -- # 1600000 sequences processed
2016/9/30 19:17:32 -- # 1700000 sequences processed
2016/9/30 19:17:32 -- # 1800000 sequences processed
2016/9/30 19:17:32 -- # 1900000 sequences processed
2016/9/30 19:17:32 -- # 2000000 sequences processed
2016/9/30 19:17:32 -- # 2100000 sequences processed
2016/9/30 19:17:32 -- # 2200000 sequences processed
2016/9/30 19:17:32 -- # 2300000 sequences processed
2016/9/30 19:17:33 -- # 2400000 sequences processed
2016/9/30 19:17:38 -- # 2500000 sequences processed
2016/9/30 19:17:38 -- # 2600000 sequences processed
2016/9/30 19:17:38 -- # 2700000 sequences processed
2016/9/30 19:17:38 -- # 2800000 sequences processed
