mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability': File exists
> Benchmarks for GEM3 : gcat_set_039_1
penguin
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2595823.GEM-Scalability.penguin.t64
2016/9/28 18:18:02 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/28 18:18:02 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability/WarmUp.2595823.GEM-Scalability.penguin.t64.sam']
2016/9/28 18:18:02 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/28 18:18:14 -- [SE::Mapping Sequences]
2016/9/28 18:18:24 -- # 100000 sequences processed
2016/9/28 18:18:25 -- # 200000 sequences processed
2016/9/28 18:18:25 -- # 300000 sequences processed
2016/9/28 18:18:26 -- # 400000 sequences processed
2016/9/28 18:18:26 -- # 500000 sequences processed
2016/9/28 18:18:26 -- # 600000 sequences processed
2016/9/28 18:18:26 -- # 700000 sequences processed
2016/9/28 18:18:26 -- # 800000 sequences processed
2016/9/28 18:18:26 -- # 900000 sequences processed
2016/9/28 18:18:26 -- # 1000000 sequences processed
2016/9/28 18:18:26 -- # 1100000 sequences processed
2016/9/28 18:18:26 -- # 1200000 sequences processed
2016/9/28 18:18:26 -- # 1300000 sequences processed
2016/9/28 18:18:26 -- # 1400000 sequences processed
2016/9/28 18:18:26 -- # 1500000 sequences processed
2016/9/28 18:18:26 -- # 1600000 sequences processed
2016/9/28 18:18:28 -- # 1700000 sequences processed
2016/9/28 18:18:28 -- # 1800000 sequences processed
2016/9/28 18:18:28 -- # 1900000 sequences processed
2016/9/28 18:18:28 -- # 2000000 sequences processed
2016/9/28 18:18:28 -- # 2100000 sequences processed
2016/9/28 18:18:28 -- # 2200000 sequences processed
2016/9/28 18:18:28 -- # 2300000 sequences processed
2016/9/28 18:18:28 -- # 2400000 sequences processed
2016/9/28 18:18:28 -- # 2500000 sequences processed
2016/9/28 18:18:28 -- # 2600000 sequences processed
2016/9/28 18:18:28 -- # 2700000 sequences processed
2016/9/28 18:18:28 -- # 2800000 sequences processed
2016/9/28 18:18:28 -- # 2900000 sequences processed
2016/9/28 18:18:28 -- # 3000000 sequences processed
2016/9/28 18:18:28 -- # 3100000 sequences processed
2016/9/28 18:18:28 -- # 3200000 sequences processed
2016/9/28 18:18:28 -- # 3300000 sequences processed
2016/9/28 18:18:28 -- # 3400000 sequences processed
2016/9/28 18:18:28 -- # 3500000 sequences processed
2016/9/28 18:18:28 -- # 3600000 sequences processed
2016/9/28 18:18:28 -- # 3700000 sequences processed
2016/9/28 18:18:28 -- # 3800000 sequences processed
2016/9/28 18:18:29 -- # 3900000 sequences processed
2016/9/28 18:18:29 -- # 4000000 sequences processed
2016/9/28 18:18:29 -- # 4100000 sequences processed
2016/9/28 18:18:29 -- # 4200000 sequences processed
2016/9/28 18:18:29 -- # 4300000 sequences processed
2016/9/28 18:18:29 -- # 4400000 sequences processed
2016/9/28 18:18:29 -- # 4500000 sequences processed
2016/9/28 18:18:29 -- # 4600000 sequences processed
2016/9/28 18:18:30 -- # 4700000 sequences processed
2016/9/28 18:18:30 -- # 4800000 sequences processed
2016/9/28 18:18:30 -- # 4900000 sequences processed
2016/9/28 18:18:30 -- # 5000000 sequences processed
2016/9/28 18:18:30 -- # 5100000 sequences processed
2016/9/28 18:18:30 -- # 5200000 sequences processed
2016/9/28 18:18:30 -- # 5300000 sequences processed
2016/9/28 18:18:30 -- # 5400000 sequences processed
2016/9/28 18:18:30 -- # 5500000 sequences processed
2016/9/28 18:18:30 -- # 5600000 sequences processed
2016/9/28 18:18:30 -- # 5700000 sequences processed
2016/9/28 18:18:30 -- # 5800000 sequences processed
2016/9/28 18:18:30 -- # 5900000 sequences processed
2016/9/28 18:18:30 -- # 6000000 sequences processed
2016/9/28 18:18:30 -- # 6100000 sequences processed
2016/9/28 18:18:31 -- # 6200000 sequences processed
2016/9/28 18:18:31 -- # 6300000 sequences processed
2016/9/28 18:18:32 -- # 6400000 sequences processed
2016/9/28 18:18:34 -- # 6500000 sequences processed
2016/9/28 18:18:34 -- # 6600000 sequences processed
2016/9/28 18:18:35 -- # 6700000 sequences processed
2016/9/28 18:18:35 -- # 6800000 sequences processed
2016/9/28 18:18:35 -- # 6900000 sequences processed
2016/9/28 18:18:35 -- # 7000000 sequences processed
2016/9/28 18:18:35 -- # 7100000 sequences processed
2016/9/28 18:18:35 -- # 7200000 sequences processed
2016/9/28 18:18:35 -- # 7300000 sequences processed
2016/9/28 18:18:35 -- # 7400000 sequences processed
2016/9/28 18:18:35 -- # 7500000 sequences processed
2016/9/28 18:18:35 -- # 7600000 sequences processed
2016/9/28 18:18:36 -- # 7700000 sequences processed
2016/9/28 18:18:36 -- # 7800000 sequences processed
2016/9/28 18:18:36 -- # 7900000 sequences processed
2016/9/28 18:18:37 -- # 8000000 sequences processed
2016/9/28 18:18:37 -- # 8100000 sequences processed
2016/9/28 18:18:37 -- # 8200000 sequences processed
2016/9/28 18:18:37 -- # 8300000 sequences processed
2016/9/28 18:18:37 -- # 8400000 sequences processed
2016/9/28 18:18:37 -- # 8500000 sequences processed
2016/9/28 18:18:37 -- # 8600000 sequences processed
2016/9/28 18:18:37 -- # 8700000 sequences processed
2016/9/28 18:18:37 -- # 8800000 sequences processed
2016/9/28 18:18:38 -- # 8900000 sequences processed
2016/9/28 18:18:38 -- # 9000000 sequences processed
2016/9/28 18:18:38 -- # 9100000 sequences processed
2016/9/28 18:18:38 -- # 9200000 sequences processed
2016/9/28 18:18:38 -- # 9300000 sequences processed
2016/9/28 18:18:38 -- # 9400000 sequences processed
2016/9/28 18:18:38 -- # 9500000 sequences processed
2016/9/28 18:18:38 -- # 9600000 sequences processed
2016/9/28 18:18:38 -- # 9700000 sequences processed
2016/9/28 18:18:38 -- # 9800000 sequences processed
2016/9/28 18:18:38 -- # 9900000 sequences processed
2016/9/28 18:18:38 -- # 10000000 sequences processed
2016/9/28 18:18:38 -- # 10100000 sequences processed
2016/9/28 18:18:38 -- # 10200000 sequences processed
2016/9/28 18:18:38 -- # 10300000 sequences processed
2016/9/28 18:18:38 -- # 10400000 sequences processed
2016/9/28 18:18:38 -- # 10500000 sequences processed
2016/9/28 18:18:38 -- # 10600000 sequences processed
2016/9/28 18:18:38 -- # 10700000 sequences processed
2016/9/28 18:18:38 -- # 10800000 sequences processed
2016/9/28 18:18:38 -- # 10900000 sequences processed
2016/9/28 18:18:38 -- # 11000000 sequences processed
2016/9/28 18:18:38 -- # 11100000 sequences processed
2016/9/28 18:18:38 -- # 11200000 sequences processed
2016/9/28 18:18:38 -- # 11300000 sequences processed
2016/9/28 18:18:38 -- # 11400000 sequences processed
2016/9/28 18:18:38 -- # 11500000 sequences processed
2016/9/28 18:18:38 -- # 11600000 sequences processed
2016/9/28 18:18:38 -- # 11700000 sequences processed
2016/9/28 18:18:38 -- # 11800000 sequences processed
2016/9/28 18:18:38 -- # 11900000 sequences processed
2016/9/28 18:18:41 -- Total 11945249 sequences processed... done
2016/9/28 18:18:41 -- [GEMMapper terminated successfully in 28s. (+11s. loading)]

#################################################################
# Test multi-threading - 8 threads - T2
#################################################################
2595823.GEM-Scalability.penguin.t8
2016/9/28 18:18:41 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/28 18:18:41 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability/2595823.GEM-Scalability.penguin.t8.sam']
2016/9/28 18:18:41 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/28 18:18:54 -- [SE::Mapping Sequences]
2016/9/28 18:19:03 -- # 100000 sequences processed
2016/9/28 18:19:03 -- # 200000 sequences processed
2016/9/28 18:19:03 -- # 300000 sequences processed
2016/9/28 18:19:03 -- # 400000 sequences processed
2016/9/28 18:19:03 -- # 500000 sequences processed
2016/9/28 18:19:03 -- # 600000 sequences processed
2016/9/28 18:19:04 -- # 700000 sequences processed
2016/9/28 18:19:04 -- # 800000 sequences processed
2016/9/28 18:19:08 -- # 900000 sequences processed
2016/9/28 18:19:09 -- # 1000000 sequences processed
2016/9/28 18:19:10 -- # 1100000 sequences processed
2016/9/28 18:19:10 -- # 1200000 sequences processed
2016/9/28 18:19:10 -- # 1300000 sequences processed
2016/9/28 18:19:10 -- # 1400000 sequences processed
2016/9/28 18:19:10 -- # 1500000 sequences processed
2016/9/28 18:19:10 -- # 1600000 sequences processed
2016/9/28 18:19:14 -- # 1700000 sequences processed
2016/9/28 18:19:14 -- # 1800000 sequences processed
2016/9/28 18:19:16 -- # 1900000 sequences processed
2016/9/28 18:19:16 -- # 2000000 sequences processed
2016/9/28 18:19:16 -- # 2100000 sequences processed
2016/9/28 18:19:16 -- # 2200000 sequences processed
2016/9/28 18:19:17 -- # 2300000 sequences processed
2016/9/28 18:19:17 -- # 2400000 sequences processed
2016/9/28 18:19:20 -- # 2500000 sequences processed
2016/9/28 18:19:20 -- # 2600000 sequences processed
2016/9/28 18:19:22 -- # 2700000 sequences processed
2016/9/28 18:19:22 -- # 2800000 sequences processed
